item_name,item_class,description,weight,size,value,hands_to_wield,weapon_damage,weapon_group,minimum_strength,minimum_range,short_range,maximum_range,armor_rating,armor_weight_class,armor_penalty,armor strain,shield bonus,weight_capacity,volume_capacity
Bellows,Tool,An air bladder with a nozzle on one end and a pair of handles that allow the air inside to be quickly expelled in a strong gust to keep coals burning as hot as possible.,1.4,0.7,0.12,2,,,,,,,,,,,,,
Chisel,Tool,"Chisel: A short bar of iron sharpened into a blade at one end, used with a hammer to shape or cut wood or stone.",,,0.1,1,,,,,,,,,,,,,
Crowbar,Tool,"A two-foot length of iron flattened on one end, allowing an adventurer to wedge it into a gap and lever upon the surrounding material. More expensive crowbars are longer (and heavier), allowing for greater leverage.",,,0.3,1,,,,,,,,,,,,,
Drill,Tool,"With one end bent into a handle that allows the adventurer to spin the other, sharpened end in place, a drill can bore a hole the size of the sharpened end (the bit) into wood or stone. More expensive drills allow for the bit to be removed and replaced with a new one when it becomes dull, while the bits on cheaper drills are simply sharpened in place.",,,0.5,2,,,,,,,,,,,,,
Glue,Tool,"Glue: A viscous material sold in airtight pots. When spread between two surfaces that are pressed together and left to dry, glue creates a strong bond?though one that can be easily broken if enough force is applied.",,,0.07,1,,,,,,,,,,,,,
Forge Hammer,Tool,"A wide variety of hammers are available for the similar variety of tasks that can be accomplished by banging on something as hard as possible. A simple, one-handed iron hammer can handle most simple tasks. A forge hammer, specially tempered and shaped for metalworking, is often found in the hands of a blacksmith. Those dealing out large amounts of brute force often carry a sledge hammer, a heavy hammerhead mounted at the end of a three-foot shaft.",,,0.8,1,,,,,,,,,,,,,
Iron Hammer,Tool,"A wide variety of hammers are available for the similar variety of tasks that can be accomplished by banging on something as hard as possible. A simple, one-handed iron hammer can handle most simple tasks. A forge hammer, specially tempered and shaped for metalworking, is often found in the hands of a blacksmith. Those dealing out large amounts of brute force often carry a sledge hammer, a heavy hammerhead mounted at the end of a three-foot shaft.",,,0.5,1,,,,,,,,,,,,,
Sledge hammer,Tool,"A wide variety of hammers are available for the similar variety of tasks that can be accomplished by banging on something as hard as possible. A simple, one-handed iron hammer can handle most simple tasks. A forge hammer, specially tempered and shaped for metalworking, is often found in the hands of a blacksmith. Those dealing out large amounts of brute force often carry a sledge hammer, a heavy hammerhead mounted at the end of a three-foot shaft.",,,2,2,,,,,,,,,,,,,
Hatchet,Tool,"A small, one-handed version of an axe. It would be difficult to fell a tree with a hatchet, but it?s the perfect tool for trimming branches from a fallen log, or chopping firewood down to size.",,,0.5,1,,,,,,,,,,,,,
Hoe,Tool,"Hoe: A simple tool with a flat, metal blade at one end, used by farmers and fieldworkers to break up hard earth.",,,0.2,2,,,,,,,,,,,,,
Skinning knife,Tool,A small knife with a specially shaped blade that makes short and clean (as possible) work of separating a creature?s pelt from its carcass.,,,0.5,1,,,,,,,,,,,,,
Rope ladder,Tool,"For those willing to carry its bulk where it?s needed, a ladder allows nearly anyone to make an easy, stable climb. wooden ladders are sturdy but long and inflexible. A rope ladder is bulky and harder to climb, but is easier to move in enclosed spaces.",,,0.3,2,,,,,,,,,,,,,
Wood ladder,Tool,"For those willing to carry its bulk where it?s needed, a ladder allows nearly anyone to make an easy, stable climb. wooden ladders are sturdy but long and inflexible. A rope ladder is bulky and harder to climb, but is easier to move in enclosed spaces.",,,0.3,2,,,,,,,,,,,,,
Mallet,Tool,"Unlike a hammer, a mallet has a wooden head, making it usable for light work but easy to break if used on sharp edges or metal materials.",,,0.06,1,,,,,,,,,,,,,
Nail,Tool,"Short pieces of metal, sharpened at one end and flattened at the other for easy pounding.",,,0.008,1,,,,,,,,,,,,,
Pitchfork,Tool,"A long, wooden shaft with three to five sharpened tines attached to one end, perfect for separating and turning hay or other materials.",,,0.5,2,,,,,,,,,,,,,
Rake,Tool,"A broom, but with the bristles replaced with metal nails or tines, used to loosen soil or separate dead grass or plants from the still-living.",,,0.3,2,,,,,,,,,,,,,
Saw,Tool,"A piece of metal edged in sharpened teeth, used (via the attached handle) to cut apart pieces of wood.",,,0.4,1,,,,,,,,,,,,,
Scythe,Tool,"A long, curving handle with a similarly long and curving blade attached perpendicularly at one end, used for mowing grass or reaping crops.",,,0.35,2,,,,,,,,,,,,,
Shovel,Tool,"Shovel: With a wide, flat blade on one end, a shovel is perfect for moving around earth or other loose materials.",,,0.3,2,,,,,,,,,,,,,
Sickle,Tool,A hand-held tool with a crescent-shaped blade designed for harvesting grain or chopping apart loose vegetation.,,,0.5,1,,,,,,,,,,,,,
Spade,Tool,"Similar to a shovel, but with a narrower, longer blade allowing for easier digging and breaking apart of hardpacked earth.",,,0.4,2,,,,,,,,,,,,,
Forge Tongs,Tool,"Pincers that allow materials to be grasped and moved about at a distance, hand tongs are made of two pieces of wood connected by a pivot. Forge tongs are made of iron allowing for the handling of heavier and hotter materials such as those found in a blacksmith?s workshop.",,,0.4,2,,,,,,,,,,,,,
Hand Tongs,Tool,"Pincers that allow materials to be grasped and moved about at a distance, hand tongs are made of two pieces of wood connected by a pivot. Forge tongs are made of iron allowing for the handling of heavier and hotter materials such as those found in a blacksmith?s workshop.",,,0.1,1,,,,,,,,,,,,,
Arrow,Missile,Ammunition for bows.,,,0.02,1,,,,,,,,,,,,,
Bedroll,Traveling,"More than just a blanket, a bedroll includes a piece of attached waxed canvas to give some protection from the damp ground. More expensive versions include pockets into which leaves or other material can be stuffed for additional insulation and warmth, and straps and buckles that make for tighter packing and easier attachment to a pack or mount.",,,1,2,,,,,,,,,,,,,
Blanket,Traveling,"A simple wool blanket, but it can be all that stands between an adventurer and death (or at least discomfort) on a cold night.",,,0.6,2,,,,,,,,,,,,,
Bolt,Missile,Ammunition for crossbows.,,,0.015,1,,,,,,,,,,,,,
Candle,Traveling,A simple wax candle that illuminates a small (2-yard) radius and burns for 1 hour.,,,0.025,1,,,,,,,,,,,,,
Candle clock,Traveling,"Expertly made to burn at a very particular rate marked on the candle itself or on a rod that stands alongside it. An adventurer will be able to tell within 10 minutes how much time has passed since the candle clock was lit, provided it burned continuously. Will burn for up to 12 hours, but only illuminates a tiny (1-foot) radius around it.",,,1,1,,,,,,,,,,,,,
Chain,Traveling,,,,1,2,,,,,,,,,,,,,
Chalk,Traveling,,,,0.02,1,,,,,,,,,,,,,
Compass,Traveling,,,,5,1,,,,,,,,,,,,,
Fishing cord,Traveling,,,,0.2,1,,,,,,,,,,,,,
Twine,Traveling,,,,0.1,1,,,,,,,,,,,,,
Tin cup,Traveling,,,,0.1,1,,,,,,,,,,,,,
Dice,Traveling,,,,2,1,,,,,,,,,,,,,
Dining Utensils,Traveling,,,,0.2,1,,,,,,,,,,,,,
Fishing Tackle,Traveling,,,,1,1,,,,,,,,,,,,,
Flint and steel,Traveling,,,,0.1,2,,,,,,,,,,,,,
Floater,Traveling,,,,3,1,,,,,,,,,,,,,
Climbing hook,Traveling,,,,2.5,1,,,,,,,,,,,,,
Grappling hook,Traveling,,,,4,1,,,,,,,,,,,,,
Hunter's snare,Traveling,,,,0.8,1,,,,,,,,,,,,,
Incense,Traveling,,,,0.2,1,,,,,,,,,,,,,
Lantern,Traveling,,,,0.5,1,,,,,,,,,,,,,
Lock picks,Traveling,,,,1.2,1,,,,,,,,,,,,,
Hand mirror,Traveling,,,,0.3,1,,,,,,,,,,,,,
Pan,Traveling,,,,0.5,1,,,,,,,,,,,,,
Plate,Traveling,,,,0.07,1,,,,,,,,,,,,,
Playing Cards,Traveling,,,,3.5,1,,,,,,,,,,,,,
Pole,Traveling,,,,0.03,2,,,,,,,,,,,,,
Pot,Traveling,,,,1,1,,,,,,,,,,,,,
Powder and shot,Traveling,,,,0.5,1,,,,,,,,,,,,,
Rope,Traveling,,,,0.2,2,,,,,,,,,,,,,
Silk rope,Traveling,,,,1,2,,,,,,,,,,,,,
Shackles,Traveling,,,,3,1,,,,,,,,,,,,,
Smoke bomb,Traveling,,,,1.5,1,,,,,,,,,,,,,
Spark tube,Traveling,,,,0.8,1,,,,,,,,,,,,,
Spike,Traveling,,,,0.05,1,,,,,,,,,,,,,
Spyglass,Traveling,,,,15,1,,,,,,,,,,,,,
Stinker,Traveling,,,,0.6,1,,,,,,,,,,,,,
Canvas tarp,Traveling,,,,2,2,,,,,,,,,,,,,
Waxed canvas tarp,Traveling,,,,3.5,2,,,,,,,,,,,,,
Small tent,Traveling,,,,1,2,,,,,,,,,,,,,
Large tent,Traveling,,,,3.5,2,,,,,,,,,,,,,
Torch,Traveling,,,,0.1,1,,,,,,,,,,,,,
Whetstone,Traveling,,,,0.1,1,,,,,,,,,,,,,
Whistle,Traveling,,,,2.2,1,,,,,,,,,,,,,
Breeches,Clothing,,,,0.08,,,,,,,,,,,,,,
Belt,Clothing,,,,0.07,,,,,,,,,,,,,,
Boots,Clothing,,,,0.5,,,,,,,,,,,,,,
Cloak,Clothing,,,,0.3,,,,,,,,,,,,,,
Dress,Clothing,,,,0.12,,,,,,,,,,,,,,
Gloves,Clothing,,,,0.4,,,,,,,,,,,,,,
Gown,Clothing,,,,4,,,,,,,,,,,,,,
Hatchet,Clothing,,,,0.1,,,,,,,,,,,,,,
Hood,Clothing,,,,0.05,,,,,,,,,,,,,,
Jacket,Clothing,,,,0.2,,,,,,,,,,,,,,
Jerkin,Clothing,,,,0.09,,,,,,,,,,,,,,
Loincloth,Clothing,,,,0.01,,,,,,,,,,,,,,
Cloth mask,Clothing,,,,0.08,,,,,,,,,,,,,,
Plaster mask,Clothing,,,,0.3,,,,,,,,,,,,,,
Pants,Clothing,,,,0.1,,,,,,,,,,,,,,
Dress robes,Clothing,,,,0.11,,,,,,,,,,,,,,
Wizard robes,Clothing,,,,0.6,,,,,,,,,,,,,,
Sandals,Clothing,,,,0.06,,,,,,,,,,,,,,
Sash,Clothing,,,,0.05,,,,,,,,,,,,,,
Shirt,Clothing,,,,0.1,,,,,,,,,,,,,,
Shoes,Clothing,,,,0.1,,,,,,,,,,,,,,
Skirt,Clothing,,,,0.07,,,,,,,,,,,,,,
Slippers,Clothing,,,,0.08,,,,,,,,,,,,,,
Stockings,Clothing,,,,0.16,,,,,,,,,,,,,,
Talbert,Clothing,,,,0.07,,,,,,,,,,,,,,
Underclothes,Clothing,,,,0.03,,,,,,,,,,,,,,
Vest,Clothing,,,,0.06,,,,,,,,,,,,,,
Beads,Trade goods,,,,0.15,,,,,,,,,,,,,,
Beeswax,Trade goods,,1,,1,,,,,,,,,,,,,,
Cotton,Trade goods,,,,2,,,,,,,,,,,,,,
Dye,Trade goods,,,,2.5,,,,,,,,,,,,,,
Feathers,Trade goods,,,,4.5,,,,,,,,,,,,,,
Flour,Trade goods,,,,0.2,,,,,,,,,,,,,,
Dried food,Trade goods,,,,0.4,,,,,,,,,,,,,,
Fresh food,Trade goods,,,,0.3,,,,,,,,,,,,,,
Honey,Trade goods,,,,0.2,,,,,,,,,,,,,,
Leather,Trade goods,,,,0.8,,,,,,,,,,,,,,
Linen,Trade goods,,,,1.5,,,,,,,,,,,,,,
Large pelt,Trade goods,,,,4,,,,,,,,,,,,,,
Small pelt,Trade goods,,,,1.5,,,,,,,,,,,,,,
Salt,Trade goods,,1,0.112554,2.5,,,,,,,,,,,,,,
Silk,Trade goods,,0.02,0.023,3.5,,,,,,,,,,,,,,
Spices,Trade goods,,0.0625,0.007034625,5,,,,,,,,,,,,,,
Wool,Trade goods,,1,1.6,0.35,,,,,,,,,,,,,,
Blank book,Professional Gear,,,,10,,,,,,,,,,,,,,
Book lock,Professional Gear,,,,2,,,,,,,,,,,,,,
Canvas,Professional Gear,,,,0.5,,,,,,,,,,,,,,
Healer's kit,Professional Gear,,,,2.5,,,,,,,,,,,,,,
Hunting horn,Professional Gear,,,,0.8,,,,,,,,,,,,,,
Illuminating kit,Professional Gear,,,,5,,,,,,,,,,,,,,
Blank ink,Professional Gear,,,,0.2,,,,,,,,,,,,,,
Red ink,Professional Gear,,,,0.25,,,,,,,,,,,,,,
Musical horn,Professional Gear,,,,1.5,,,,,,,,,,,,,,
Musical drum,Professional Gear,,,,0.8,,,,,,,,,,,,,,
Musical stringed,Professional Gear,,,,2,,,,,,,,,,,,,,
Musical wind,Professional Gear,,,,1,,,,,,,,,,,,,,
Paint,Professional Gear,,,,0.3,,,,,,,,,,,,,,
Painter's Kit,Professional Gear,,,,1,,,,,,,,,,,,,,
Map paper,Professional Gear,,,,0.1,,,,,,,,,,,,,,
Paper page,Professional Gear,,,,0.03,,,,,,,,,,,,,,
Quill,Professional Gear,,,,0.03,,,,,,,,,,,,,,
Scroll,Professional Gear,,,,1,,,,,,,,,,,,,,
Custom sealing ring,Professional Gear,,,,6,,,,,,,,,,,,,,
Standard sealing ring,Professional Gear,,,,0.5,,,,,,,,,,,,,,
Sealing wax,Professional Gear,,,,0.05,,,,,,,,,,,,,,
Bed frame,Home and Hearth,,,,3,,,,,,,,,,,,,,
Cotton blanket,Home and Hearth,,,,0.4,,,,,,,,,,,,,,
Clay bowl,Home and Hearth,,,,0.03,,,,,,,,,,,,,,
Metal bowl,Home and Hearth,,,,0.2,,,,,,,,,,,,,,
Wooden bowl,Home and Hearth,,,,0.06,,,,,,,,,,,,,,
broom,Home and Hearth,,,,0.07,,,,,,,,,,,,,,
Brush,Home and Hearth,,,,0.12,,,,,,,,,,,,,,
Cauldron,Home and Hearth,,,,3.5,,,,,,,,,,,,,,
Upholstered chair,Home and Hearth,,,,2.5,,,,,,,,,,,,,,
Wooden chair,Home and Hearth,,,,1,,,,,,,,,,,,,,
Comb,Home and Hearth,,,,0.06,,,,,,,,,,,,,,
Clay cup,Home and Hearth,,,,0.05,,,,,,,,,,,,,,
tin cup,Home and Hearth,,,,0.1,,,,,,,,,,,,,,
wooden cup,Home and Hearth,,,,0.08,,,,,,,,,,,,,,
lamp,Home and Hearth,,,,0.2,,,,,,,,,,,,,,
full looking glass,Home and Hearth,,,,70,,,,,,,,,,,,,,
small looking glass,Home and Hearth,,,,5,,,,,,,,,,,,,,
feather mattress,Home and Hearth,,,,4.5,,,,,,,,,,,,,,
straw mattress,Home and Hearth,,,,2,,,,,,,,,,,,,,
clay mug,Home and Hearth,,,,0.08,,,,,,,,,,,,,,
metal mug,Home and Hearth,,,,0.15,,,,,,,,,,,,,,
oil,Home and Hearth,,,,0.08,,,,,,,,,,,,,,
pillow,Home and Hearth,,,,0.3,,,,,,,,,,,,,,
quilt,Home and Hearth,,,,1,,,,,,,,,,,,,,
soap,Home and Hearth,,,,0.15,,,,,,,,,,,,,,
stool,Home and Hearth,,,,0.25,,,,,,,,,,,,,,
large table,Home and Hearth,,,,4.5,,,,,,,,,,,,,,
small table,Home and Hearth,,,,1,,,,,,,,,,,,,,
wineglass,Home and Hearth,,,,3,,,,,,,,,,,,,,
pint of ale,Food and Lodging,,,,0.1,,,,,,,,,,,,,,
pitcher of ale,Food and Lodging,,,,0.25,,,,,,,,,,,,,,
bath,Food and Lodging,,,,0.1,,,,,,,,,,,,,,
bread,Food and Lodging,,,,0.05,,,,,,,,,,,,,,
candy,Food and Lodging,,,,0.8,,,,,,,,,,,,,,
cheese,Food and Lodging,,,,0.25,,,,,,,,,,,,,,
dried meat,Food and Lodging,,,,0.35,,,,,,,,,,,,,,
fresh fruit,Food and Lodging,,,,2,,,,,,,,,,,,,,
apartment rent for 1 week,Food and Lodging,,,,5,,,,,,,,,,,,,,
house rent for 1 week,Food and Lodging,,,,20,,,,,,,,,,,,,,
common room 1 night,Food and Lodging,,,,0.05,,,,,,,,,,,,,,
private room 1 night,Food and Lodging,,,,0.2,,,,,,,,,,,,,,
pint of mead,Food and Lodging,,,,0.15,,,,,,,,,,,,,,
Full meal,Food and Lodging,,,,0.25,,,,,,,,,,,,,,
stew,Food and Lodging,,,,0.05,,,,,,,,,,,,,,
pickled vegetables,Food and Lodging,,,,0.03,,,,,,,,,,,,,,
1 week rations,Food and Lodging,,,,0.2,,,,,,,,,,,,,,
tea,Food and Lodging,,,,0.6,,,,,,,,,,,,,,
fresh vegetables,Food and Lodging,,,,0.25,,,,,,,,,,,,,,
wash,Food and Lodging,,,,0.02,,,,,,,,,,,,,,
cheap wine,Food and Lodging,,,,0.2,,,,,,,,,,,,,,
fine wine,Food and Lodging,,,,0.3,,,,,,,,,,,,,,
Acid Vial,Weapon,,,,2.4,1,3d6,Grenade,,,,,,,,,,,
Blast Vial,Weapon,,,,0.9,1,2d6,Grenade,,,,,,,,,,,
Fire vial,Weapon,,,,1.8,1,3d6,Grenade,,,,,,,,,,,
Ice vial,Weapon,,,,1.8,1,3d6,Grenade,,,,,,,,,,,
lightning vial,Weapon,,,,2.4,1,2d6,Grenade,,,,,,,,,,,
thunder vial,Weapon,,,,0.9,1,1d6,Grenade,,,,,,,,,,,
Battle Axe,Weapon,,,,1.4,1,2d6,Axes,1,,,,,,,,,,
Throwing Axe,Weapon,,,,1,1,1d6+2,Axes,1,,4,8,,,,,,,
Two-handed axe,Weapon,,,,2,2,3d6,Axes,3,,,,,,,,,,
Arquebus,Weapon,,,,4,2,2d6+3,Black powder,,,12,24,,,,,,,
Blunderbuss,Weapon,,,,3.5,2,1d6+2,Black powder,,,6,6,,,,,,,
Pistol,Weapon,,,,2.5,1,1d6+3,Black powder,,,8,16,,,,,,,
Mace,Weapon,,,,1.2,1,2d6,Bludgeons,1,,,,,,,,,,
Maul,Weapon,,,,1.4,1,1d6+3,Bludgeons,1,,,,,,,,,,
Two-handed Maul,Weapon,,,,1.9,2,2d6+3,Bludgeons,3,,,,,,,,,,
Crossbow,Weapon,,,,2,2,2d6+1,Bows,1,,30,60,,,,,,,
Short Bow,Weapon,,,,0.9,2,1d6+1,Bows,-1,,16,32,,,,,,,
Long Bow,Weapon,,,,1.5,2,1d6+3,Bows,1,,26,52,,,,,,,
Fist,Weapon,,,,0,1,1d3,Brawling,,,,,,,,,,,
Gauntlet,Weapon,,,,0.4,1,1d3+1,Brawling,,,,,,,,,,,
Improvised Weapon,Weapon,,,,0,,1d6-1,Brawling,,,,,,,,,,,
Main Gauche,Weapon,,,,1.1,1,1d6+1,Dueling,,,,,,,,,,,
Rapier,Weapon,,,,1.8,1,1d6+3,Dueling,0,,,,,,,,,,
Spiked Buckler,Weapon,,,,1.5,1,1d6-1,Dueling,-1,,,,,,,,1,,
Bastard Sword,Weapon,,,,2,1,2d6+1,Heavy blades,2,,,,,,,,,,
Long Sword,Weapon,,,,1.8,1,2d6,Heavy blades,1,,,,,,,,,,
Two-handed sword,Weapon,,,,2.3,2,3d6,Heavy blades,3,,,,,,,,,,
Heavy Lance,Weapon,,,,2,1,2d6+1,Lances,3,,,,,,,,,,
Jousting lance,Weapon,,,,0.6,1,1d6+1,Lances,0,,,,,,,,,,
Light lance,Weapon,,,,1.2,1,1d6+3,Lances,1,,,,,,,,,,
Dagger,Weapon,,,,0.9,1,1d6+1,Light blades,,,,,,,,,,,
Short sword,Weapon,,,,1.4,1,1d6+2,Light blades,-1,,,,,,,,,,
Throwing Knife,Weapon,,,,1,1,1d6,Light blades,,,6,12,,,,,,,
Glaive,Weapon,,,,2.3,2,2d6+1,Polearms,1,,,,,,,,,,
Halberd,Weapon,,,,2.5,2,2d6+3,Polearms,3,,,,,,,,,,
Military Fork,Weapon,,,,1.8,2,2d6,Polearms,2,,,,,,,,,,
Spear,Weapon,,,,1.2,1,1d6+3,Spears,0,,,,,,,,,,
Throwing Spear,Weapon,,,,1.2,1,1d6+3,Spears,0,,8,16,,,,,,,
Two-handed Spear,Weapon,,,,2,2,2d6,Spears,1,,,,,,,,,,
Club,Weapon,,,,0.1,1,1d6,Staves,,,,,,,,,,,
Morning star,Weapon,,,,1.1,1,1d6+3,Staves,1,,,,,,,,,,
Quarterstaff,Weapon,,,,0.3,2,1d6+1,Staves,,,,,,,,,,,
Light Leather,Armor,,,,1.5,2,,,,,,,3,Light,0,1,,,
Heavy Leather,Armor,,,,3,2,,,,,,,4,Heavy,-1,2,,,
Light mail,Armor,,,,5,2,,,,,,,5,Light,-2,3,,,
heavy mail,Armor,,,,7.5,2,,,,,,,7,Heavy,-3,4,,,
light plate,Armor,,,,10,2,,,,,,,8,Light,-4,5,,,
heavy plate,Armor,,,,15,2,,,,,,,10,Heavy,-5,6,,,
Light shield,Shield,,,,1.5,1,,,,,,,,,,,1,,
Medium Shield,Shield,,,,3,1,,,,,,,,,,,2,,
Heavy shield,Shield,,,,6,1,,,,,,,,,,,3,,
